slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
C3L-01663-21.svs,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
C3L-03262-22.svs,0,processed,1,8,7,4,False,none,none,100.0,16.0,8,1,250,True,four_pt
